trade_id,pos_dt,book_cd,desk_cd,instmt_id,qty_nom,dirty_px,mkt_val_lcy,ccy_cd,load_dttm
TRD-00015,20241130,CRDT-EUR-02,DESK-IG,INST-0007,28745804.56,99.081908,28481891.63,EUR,31DEC2024:22:15:15
TRD-00016,20241231,CRDT-EUR-02,DESK-IG,INST-0022,48278332.39,92.574352,44693353.37,EUR,31DEC2024:22:16:16
TRD-00017,20241231,CRDT-EUR-02,DESK-IG,INST-0008,20095301.37,87.222465,17527617.2,EUR,31DEC2024:22:17:17
TRD-00018,20241231,CRDT-EUR-01,DESK-IG,INST-0010,40575989.61,113.473769,46043104.72,EUR,31DEC2024:22:18:18
TRD-00019,20241231,CRDT-EUR-01,DESK-IG,INST-0016,27947844.43,97.485221,27245017.91,EUR,31DEC2024:22:19:19
TRD-00020,20241231,CRDT-USD-01,DESK-HY,INST-0050,22580671.8,0.0,0.0,GBP,31DEC2024:22:20:20
TRD-00021,20241231,CRDT-EUR-02,DESK-IG,INST-0020,15338474.19,103.63082,15895386.58,GBP,31DEC2024:22:21:21
TRD-00022,20241231,CRDT-EUR-01,DESK-IG,INST-0049,31313200.02,92.939384,29102295.21,EUR,31DEC2024:22:22:22
TRD-00023,20241231,CRDT-EUR-01,DESK-IG,INST-0011,8773296.06,87.251946,7654871.54,EUR,31DEC2024:22:23:23
TRD-00024,20241231,CRDT-EUR-01,DESK-IG,INST-0027,34499619.68,99.097374,34188217.14,GBP,31DEC2024:22:24:24
TRD-00025,20241231,CRDT-EUR-01,DESK-IG,INST-0015,35377095.91,106.089627,37531429.09,USD,31DEC2024:22:25:25
TRD-00026,20241231,CRDT-EUR-02,DESK-IG,INST-0005,46203161.12,108.634841,50192730.62,EUR,31DEC2024:22:26:26
TRD-00027,20241231,CRDT-USD-01,DESK-HY,INST-0028,27273662.7,104.429042,28481624.68,USD,31DEC2024:22:27:27
TRD-00028,20241231,CRDT-GBP-01,DESK-EM,INST-0010,3075938.17,108.778857,3345970.38,USD,31DEC2024:22:28:28
TRD-00029,20241231,CRDT-GBP-01,DESK-EM,INST-0029,23488028.72,94.122736,22107575.26,USD,31DEC2024:22:29:29
TRD-00030,20241231,CRDT-EUR-02,DESK-IG,INST-0018,21944167.29,102.9411,22589567.19,GBP,31DEC2024:22:30:30
TRD-00031,20241231,CRDT-EUR-02,DESK-IG,INST-0048,30225310.68,85.775947,25926046.47,USD,31DEC2024:22:31:31
TRD-00032,20241231,CRDT-USD-01,DESK-HY,INST-0044,49978663.6,105.168448,52561784.84,USD,31DEC2024:22:32:32
TRD-00033,20241231,CRDT-GBP-01,DESK-EM,INST-0037,38179139.31,90.255722,34458857.84,USD,31DEC2024:22:33:33
TRD-00034,20241231,CRDT-EUR-02,DESK-IG,INST-0018,49847579.2,98.07655,48888785.94,EUR,31DEC2024:22:34:34
TRD-00035,20241231,CRDT-EUR-02,DESK-IG,INST-0006,17463256.71,94.999252,16589963.25,,31DEC2024:22:35:35
TRD-00036,20241231,CRDT-EUR-01,DESK-IG,INST-0011,20641089.98,99.864071,20613032.75,,31DEC2024:22:36:36
TRD-00037,20241231,CRDT-EUR-02,DESK-IG,INST-0049,22795812.84,94.435515,21527343.25,EUR,31DEC2024:22:37:37
TRD-00038,20241231,CRDT-GBP-01,DESK-EM,INST-0008,43259038.14,109.747816,47475849.58,EUR,31DEC2024:22:38:38
TRD-00039,20241231,CRDT-EUR-01,DESK-IG,INST-0043,20721053.78,90.627476,18778968.04,GBP,31DEC2024:22:39:39
TRD-00040,20241231,CRDT-GBP-01,DESK-EM,INST-0040,31307896.23,107.799716,33749823.22,EUR,31DEC2024:22:40:40
TRD-00041,20241231,CRDT-USD-01,DESK-HY,INST-0018,46390870.77,98.143483,45529616.37,USD,31DEC2024:22:41:41
TRD-00042,20241231,CRDT-EUR-02,DESK-IG,INST-0008,48660026.11,103.26615,50249335.55,EUR,31DEC2024:22:42:42
TRD-00043,20241231,CRDT-USD-01,DESK-HY,INST-0046,15606431.91,85.410234,13329490.01,USD,31DEC2024:22:43:43
TRD-00044,20241231,CRDT-EUR-02,DESK-IG,INST-0006,49613631.26,112.387896,55759716.3,EUR,31DEC2024:22:44:44
TRD-00045,20241231,CRDT-EUR-02,DESK-IG,INST-0008,24968937.68,106.4981,26591444.22,EUR,31DEC2024:22:45:45
TRD-00046,20241231,CRDT-GBP-01,DESK-EM,INST-0027,49014207.17,92.311927,45245959.14,EUR,31DEC2024:22:46:46
TRD-00047,20241231,CRDT-USD-01,DESK-HY,INST-0025,46101220.68,100.247227,46215195.34,USD,31DEC2024:22:47:47
TRD-00048,20241231,CRDT-USD-01,DESK-HY,INST-0005,38656489.12,110.632371,42766590.46,EUR,31DEC2024:22:48:48
TRD-00049,20241231,CRDT-GBP-01,DESK-EM,INST-0033,41045418.71,93.485169,38371379.05,EUR,31DEC2024:22:49:49
TRD-00050,20241231,CRDT-GBP-01,DESK-EM,INST-0038,49945226.43,99.68921,49790001.66,GBP,31DEC2024:22:50:50
TRD-00051,20241231,CRDT-USD-01,DESK-HY,INST-0029,17321684.69,101.557523,17591473.91,GBP,31DEC2024:22:51:51
TRD-00052,20241231,CRDT-EUR-02,DESK-IG,INST-0030,43493123.99,114.423239,49766241.21,USD,31DEC2024:22:52:52
TRD-00053,20241231,CRDT-USD-01,DESK-HY,INST-0037,11754766.06,108.266334,12726454.28,GBP,31DEC2024:22:53:53
TRD-00054,20241231,CRDT-EUR-01,DESK-IG,INST-0021,35290871.26,109.342267,38587838.68,GBP,31DEC2024:22:54:54
TRD-00055,20241231,CRDT-EUR-02,DESK-IG,INST-0043,24816899.62,86.110588,21369978.19,EUR,31DEC2024:22:55:55
TRD-00056,20241231,CRDT-GBP-01,DESK-EM,INST-0007,5075613.72,112.31325,5700586.73,EUR,31DEC2024:22:56:56
TRD-00057,20241231,CRDT-EUR-01,DESK-IG,INST-0047,20557933.13,104.64344,21512528.42,EUR,31DEC2024:22:57:57
TRD-00058,20241231,CRDT-USD-01,DESK-HY,INST-0005,39098112.03,92.950683,36341962.17,GBP,31DEC2024:22:58:58
TRD-00059,20241231,CRDT-EUR-02,DESK-IG,INST-0042,42603088.09,110.57024,47106336.75,EUR,31DEC2024:22:59:59
TRD-00060,20241231,CRDT-EUR-02,DESK-IG,INST-0021,43631912.57,86.076973,37557029.6,GBP,31DEC2024:22:00:00
TRD-00061,20241231,CRDT-EUR-01,DESK-IG,INST-0016,49871553.56,107.402991,53563540.18,USD,31DEC2024:22:01:01
TRD-00062,20241231,CRDT-EUR-02,DESK-IG,INST-0007,22239559.73,105.820035,23533909.89,EUR,31DEC2024:22:02:02
TRD-00063,20241231,CRDT-EUR-01,DESK-IG,INST-0003,39827558.91,93.801033,37358661.68,USD,31DEC2024:22:03:03
TRD-00064,20241231,CRDT-GBP-01,DESK-EM,INST-0028,12285451.87,97.361552,11961306.61,USD,31DEC2024:22:04:04
TRD-00065,20241231,CRDT-USD-01,DESK-HY,INST-0011,4040520.7,111.125188,4490036.22,USD,31DEC2024:22:05:05
TRD-00066,20241231,CRDT-USD-01,DESK-HY,INST-0032,11686203.37,104.137139,12169677.85,USD,31DEC2024:22:06:06
TRD-00067,20241231,CRDT-EUR-02,DESK-IG,INST-0017,44955535.73,98.957598,44486918.33,EUR,31DEC2024:22:07:07
TRD-00068,20241231,CRDT-GBP-01,DESK-EM,INST-0044,7982983.54,98.251894,7843432.53,GBP,31DEC2024:22:08:08
TRD-00069,20241231,CRDT-GBP-01,DESK-EM,INST-0038,31983041.25,97.729268,31256792.1,EUR,31DEC2024:22:09:09
TRD-00070,20241231,CRDT-GBP-01,DESK-EM,INST-0030,10040928.26,96.540797,9693592.17,EUR,31DEC2024:22:10:10
TRD-00071,20241231,CRDT-EUR-02,DESK-IG,INST-0007,19130078.45,95.768775,18320641.79,EUR,31DEC2024:22:11:11
TRD-00072,20241231,CRDT-GBP-01,DESK-EM,INST-0045,1194785.93,109.901127,1313083.2,EUR,31DEC2024:22:12:12
TRD-00073,20241231,CRDT-EUR-02,DESK-IG,INST-0018,28339857.95,105.573985,29919517.38,EUR,31DEC2024:22:13:13
TRD-00074,20241231,CRDT-EUR-01,DESK-IG,INST-0039,41658661.09,112.088048,46694380.04,GBP,31DEC2024:22:14:14
TRD-00075,20241231,CRDT-USD-01,DESK-HY,INST-0039,11028326.49,90.70396,10003128.85,EUR,31DEC2024:22:15:15
TRD-00076,20241231,CRDT-GBP-01,DESK-EM,INST-0044,38396791.65,105.425653,40480068.33,GBP,31DEC2024:22:16:16
TRD-00077,20241231,CRDT-USD-01,DESK-HY,INST-0041,45179844.83,104.390218,47163338.51,USD,31DEC2024:22:17:17
TRD-00078,20241231,CRDT-GBP-01,DESK-EM,INST-0029,29020732.89,106.970793,31043708.11,USD,31DEC2024:22:18:18
TRD-00079,20241231,CRDT-EUR-01,DESK-IG,INST-0019,37399295.16,90.269202,33760045.29,USD,31DEC2024:22:19:19
TRD-00080,20241231,CRDT-USD-01,DESK-HY,INST-0035,26589533.45,112.404609,29887861.11,EUR,31DEC2024:22:20:20
TRD-00081,20241231,CRDT-USD-01,DESK-HY,INST-0017,48372465.4,93.854243,45399611.22,GBP,31DEC2024:22:21:21
TRD-00082,20241231,CRDT-GBP-01,DESK-EM,INST-0008,48148375.31,89.22271,42959285.27,EUR,31DEC2024:22:22:22
TRD-00083,20241231,CRDT-USD-01,DESK-HY,INST-0044,48366760.39,109.137629,52786335.51,GBP,31DEC2024:22:23:23
TRD-00084,20241231,CRDT-GBP-01,DESK-EM,INST-0006,794540.89,101.097169,803258.35,EUR,31DEC2024:22:24:24
TRD-00085,20241231,CRDT-EUR-02,DESK-IG,INST-0024,29269548.57,109.672519,32100651.22,USD,31DEC2024:22:25:25
TRD-00086,20241231,CRDT-GBP-01,DESK-EM,INST-0007,11767712.92,85.750739,10090900.79,GBP,31DEC2024:22:26:26
TRD-00087,20241231,CRDT-GBP-01,DESK-EM,INST-0040,32417853.79,104.062118,33734705.26,USD,31DEC2024:22:27:27
TRD-00088,20241231,CRDT-EUR-02,DESK-IG,INST-0045,32497048.37,88.500278,28759978.15,USD,31DEC2024:22:28:28
TRD-00089,20241231,CRDT-EUR-01,DESK-IG,INST-0003,49796776.0,88.483614,44061987.06,USD,31DEC2024:22:29:29
TRD-00090,20241231,CRDT-USD-01,DESK-HY,INST-0035,19493426.97,96.130345,18739098.6,USD,31DEC2024:22:30:30
TRD-00091,20241231,CRDT-EUR-02,DESK-IG,INST-0038,44282147.82,104.647657,46340230.16,EUR,31DEC2024:22:31:31
TRD-00092,20241231,CRDT-EUR-02,DESK-IG,INST-0040,46958747.98,93.392204,43855809.71,GBP,31DEC2024:22:32:32
TRD-00093,20241231,CRDT-GBP-01,DESK-EM,INST-0014,22290323.4,92.083379,20525682.98,EUR,31DEC2024:22:33:33
TRD-00094,20241231,CRDT-GBP-01,DESK-EM,INST-0007,18430014.43,112.050886,20650994.46,GBP,31DEC2024:22:34:34
TRD-00095,20241231,CRDT-GBP-01,DESK-EM,INST-0004,13866483.9,114.046206,15814198.79,EUR,31DEC2024:22:35:35
TRD-00096,20241231,CRDT-EUR-02,DESK-IG,INST-0006,32121052.91,102.914379,33057182.13,EUR,31DEC2024:22:36:36
TRD-00097,20241231,CRDT-EUR-01,DESK-IG,INST-0004,12254087.97,88.777717,10878899.54,USD,31DEC2024:22:37:37
TRD-00098,20241231,CRDT-USD-01,DESK-HY,INST-0005,29360515.87,109.391589,32117934.85,USD,31DEC2024:22:38:38
TRD-00099,20241231,CRDT-USD-01,DESK-HY,INST-0022,39453323.34,102.879449,40589361.66,USD,31DEC2024:22:39:39
TRD-00100,20241231,CRDT-GBP-01,DESK-EM,INST-0010,27056751.3,108.955415,29479795.66,USD,31DEC2024:22:40:40
TRD-00101,20241231,CRDT-EUR-01,DESK-IG,INST-0043,6676981.16,95.747268,6393027.05,EUR,31DEC2024:22:41:41
TRD-00102,20241231,CRDT-USD-01,DESK-HY,INST-0038,887476.07,92.961025,825006.85,EUR,31DEC2024:22:42:42
TRD-00103,20241231,CRDT-USD-01,DESK-HY,INST-0048,26351667.78,107.369958,28293774.63,GBP,31DEC2024:22:43:43
TRD-00104,20241231,CRDT-EUR-02,DESK-IG,INST-0029,25710574.08,88.27162,22695140.25,USD,31DEC2024:22:44:44
TRD-00105,20241231,CRDT-USD-01,DESK-HY,INST-0040,36389425.56,112.262551,40851697.43,USD,31DEC2024:22:45:45
TRD-00106,20241231,CRDT-GBP-01,DESK-EM,INST-0030,48204906.54,86.824762,41853795.38,GBP,31DEC2024:22:46:46
TRD-00107,20241231,CRDT-EUR-02,DESK-IG,INST-0026,34336265.05,99.708066,34236025.82,GBP,31DEC2024:22:47:47
TRD-00108,20241231,CRDT-EUR-02,DESK-IG,INST-0005,16173379.81,89.450015,14467090.67,EUR,31DEC2024:22:48:48
TRD-00109,20241231,CRDT-USD-01,DESK-HY,INST-0018,19107129.5,102.921756,19665393.2,EUR,31DEC2024:22:49:49
TRD-00110,20241231,CRDT-GBP-01,DESK-EM,INST-0030,30310796.9,87.975354,26666030.87,GBP,31DEC2024:22:50:50
TRD-00111,20241231,CRDT-EUR-01,DESK-IG,INST-0042,21560490.09,111.642731,24070719.95,EUR,31DEC2024:22:51:51
TRD-00112,20241231,CRDT-EUR-02,DESK-IG,INST-0022,19996636.19,106.888375,21374079.48,GBP,31DEC2024:22:52:52
TRD-00113,20241231,CRDT-GBP-01,DESK-EM,INST-0028,33288882.37,96.229031,32033568.94,EUR,31DEC2024:22:53:53
TRD-00114,20241231,CRDT-USD-01,DESK-HY,INST-0044,3449952.08,109.953157,3793331.23,GBP,31DEC2024:22:54:54
TRD-00115,20241231,CRDT-EUR-01,DESK-IG,INST-0028,37254989.56,96.179406,35831627.66,EUR,31DEC2024:22:55:55
TRD-00116,20241231,CRDT-USD-01,DESK-HY,INST-0036,29364607.63,101.847592,29907145.77,USD,31DEC2024:22:56:56
TRD-00117,20241231,CRDT-GBP-01,DESK-EM,INST-0043,20599350.78,111.208221,22908171.54,USD,31DEC2024:22:57:57
TRD-00118,20241231,CRDT-EUR-02,DESK-IG,INST-0047,48423091.4,103.012303,49881741.63,EUR,31DEC2024:22:58:58
TRD-00119,20241231,CRDT-GBP-01,DESK-EM,INST-0007,25419886.09,89.641905,22786870.14,GBP,31DEC2024:22:59:59
TRD-00120,20241231,CRDT-EUR-02,DESK-IG,INST-0015,17570688.31,101.687964,17867275.2,EUR,31DEC2024:22:00:00
TRD-00121,20241231,CRDT-EUR-01,DESK-IG,INST-0049,28747590.22,109.216641,31397152.41,USD,31DEC2024:22:01:01
TRD-00122,20241231,CRDT-EUR-01,DESK-IG,INST-0039,1544763.73,93.198112,1439690.63,USD,31DEC2024:22:02:02
TRD-00123,20241231,CRDT-GBP-01,DESK-EM,INST-0022,404678.89,111.095881,449581.58,EUR,31DEC2024:22:03:03
TRD-00124,20241231,CRDT-EUR-02,DESK-IG,INST-0005,37074356.05,114.15431,42321975.34,EUR,31DEC2024:22:04:04
TRD-00125,20241231,CRDT-EUR-01,DESK-IG,INST-0048,18872100.84,98.609374,18609660.5,EUR,31DEC2024:22:05:05
TRD-00126,20241231,CRDT-USD-01,DESK-HY,INST-0024,36107638.79,108.305069,39106403.11,EUR,31DEC2024:22:06:06
TRD-00127,20241231,CRDT-EUR-01,DESK-IG,INST-0004,7954753.87,103.535145,8235965.95,EUR,31DEC2024:22:07:07
TRD-00128,20241231,CRDT-EUR-01,DESK-IG,INST-0018,33130740.77,99.569851,32988229.22,GBP,31DEC2024:22:08:08
TRD-00129,20241231,CRDT-EUR-02,DESK-IG,INST-0027,10856891.37,100.370389,10897104.1,USD,31DEC2024:22:09:09
TRD-00130,20241231,CRDT-GBP-01,DESK-EM,INST-0028,14233998.86,105.354588,14996170.85,USD,31DEC2024:22:10:10
TRD-00131,20241231,CRDT-EUR-02,DESK-IG,INST-0034,2366326.39,96.857902,2291974.1,USD,31DEC2024:22:11:11
TRD-00132,20241231,CRDT-EUR-01,DESK-IG,INST-0001,15140826.16,91.337019,13829179.27,EUR,31DEC2024:22:12:12
TRD-00133,20241231,CRDT-USD-01,DESK-HY,INST-0049,14543411.85,88.59953,12885394.55,EUR,31DEC2024:22:13:13
TRD-00134,20241231,CRDT-EUR-02,DESK-IG,INST-0048,8867170.61,96.406223,8548504.27,GBP,31DEC2024:22:14:14
TRD-00135,20241231,CRDT-USD-01,DESK-HY,INST-0033,3696567.28,110.852931,4097753.18,EUR,31DEC2024:22:15:15
TRD-00136,20241231,CRDT-EUR-01,DESK-IG,INST-0028,23041737.09,87.335878,20123703.39,EUR,31DEC2024:22:16:16
TRD-00137,20241231,CRDT-GBP-01,DESK-EM,INST-0037,28712644.08,106.284969,30517224.86,EUR,31DEC2024:22:17:17
TRD-00138,20241231,CRDT-EUR-02,DESK-IG,INST-0019,20311112.12,113.985991,23151822.43,EUR,31DEC2024:22:18:18
TRD-00139,20241231,CRDT-USD-01,DESK-HY,INST-0040,41618093.06,112.593093,46859098.22,GBP,31DEC2024:22:19:19
TRD-00140,20241231,CRDT-EUR-01,DESK-IG,INST-0028,12241492.09,102.666139,12567867.28,EUR,31DEC2024:22:20:20
TRD-00141,20241231,CRDT-EUR-01,DESK-IG,INST-0026,37315660.84,91.647162,34198744.14,USD,31DEC2024:22:21:21
TRD-00142,20241231,CRDT-USD-01,DESK-HY,INST-0005,26577180.56,90.817111,24136627.57,USD,31DEC2024:22:22:22
TRD-00143,20241231,CRDT-GBP-01,DESK-EM,INST-0023,47915345.11,104.363289,50006030.09,GBP,31DEC2024:22:23:23
TRD-00144,20241231,CRDT-USD-01,DESK-HY,INST-0016,7407566.49,90.918154,6734822.71,USD,31DEC2024:22:24:24
TRD-00145,20241231,CRDT-USD-01,DESK-HY,INST-0049,8939591.83,108.185443,9671337.02,USD,31DEC2024:22:25:25
TRD-00146,20241231,CRDT-EUR-02,DESK-IG,INST-0030,34088560.57,111.461445,37995602.19,GBP,31DEC2024:22:26:26
TRD-00147,20241231,CRDT-GBP-01,DESK-EM,INST-0041,7632774.33,87.048588,6644222.28,EUR,31DEC2024:22:27:27
TRD-00148,20241231,CRDT-EUR-02,DESK-IG,INST-0041,39836850.99,102.742593,40929413.68,USD,31DEC2024:22:28:28
TRD-00149,20241231,CRDT-GBP-01,DESK-EM,INST-0033,15589351.75,98.557416,15364462.26,USD,31DEC2024:22:29:29
TRD-00150,20241231,CRDT-EUR-01,DESK-IG,INST-0024,3928876.96,110.927501,4358205.03,USD,31DEC2024:22:30:30
TRD-00151,20241231,CRDT-EUR-01,DESK-IG,INST-0040,23189311.78,101.629491,23567179.53,GBP,31DEC2024:22:31:31
TRD-00152,20241231,CRDT-EUR-01,DESK-IG,INST-0029,16144185.47,99.268871,16026150.65,EUR,31DEC2024:22:32:32
TRD-00153,20241231,CRDT-USD-01,DESK-HY,INST-0004,5264743.68,111.973805,5895133.82,GBP,31DEC2024:22:33:33
TRD-00154,20241231,CRDT-GBP-01,DESK-EM,INST-0046,25276995.17,90.176767,22793977.04,USD,31DEC2024:22:34:34
TRD-00155,20241231,CRDT-USD-01,DESK-HY,INST-0046,49550202.53,100.722057,49907983.24,GBP,31DEC2024:22:35:35
TRD-00156,20241231,CRDT-USD-01,DESK-HY,INST-0024,45905045.78,96.622497,44354601.48,EUR,31DEC2024:22:36:36
TRD-00157,20241231,CRDT-GBP-01,DESK-EM,INST-0044,2713039.33,103.926597,2819569.45,GBP,31DEC2024:22:37:37
TRD-00158,20241231,CRDT-GBP-01,DESK-EM,INST-0005,4815846.78,105.35138,5073561.04,EUR,31DEC2024:22:38:38
TRD-00159,20241231,CRDT-GBP-01,DESK-EM,INST-0017,42593156.37,113.932301,48527363.12,GBP,31DEC2024:22:39:39
TRD-00160,20241231,CRDT-USD-01,DESK-HY,INST-0022,29178701.78,89.242851,26039905.35,USD,31DEC2024:22:40:40
TRD-00161,20241231,CRDT-GBP-01,DESK-EM,INST-0020,34954150.14,96.75874,33821195.25,GBP,31DEC2024:22:41:41
TRD-00162,20241231,CRDT-EUR-01,DESK-IG,INST-0020,32210313.84,94.854297,30552866.75,GBP,31DEC2024:22:42:42
TRD-00163,20241231,CRDT-USD-01,DESK-HY,INST-0043,32336638.55,97.702191,31593604.36,USD,31DEC2024:22:43:43
TRD-00164,20241231,CRDT-GBP-01,DESK-EM,INST-0002,15512416.9,113.535079,17612034.78,EUR,31DEC2024:22:44:44
TRD-00165,20241231,CRDT-GBP-01,DESK-EM,INST-0050,9681061.16,114.999299,11133152.47,EUR,31DEC2024:22:45:45
TRD-00166,20241231,CRDT-USD-01,DESK-HY,INST-0005,42236976.6,88.034223,37182994.17,EUR,31DEC2024:22:46:46
TRD-00167,20241231,CRDT-EUR-01,DESK-IG,INST-0043,43831999.35,103.540944,45384065.9,USD,31DEC2024:22:47:47
TRD-00168,20241231,CRDT-EUR-02,DESK-IG,INST-0010,9124213.76,105.785369,9652083.19,EUR,31DEC2024:22:48:48
TRD-00169,20241231,CRDT-USD-01,DESK-HY,INST-0047,2280252.15,95.928982,2187422.67,GBP,31DEC2024:22:49:49
TRD-00170,20241231,CRDT-USD-01,DESK-HY,INST-0029,37644319.14,108.514011,40849360.61,EUR,31DEC2024:22:50:50
TRD-00171,20241231,CRDT-USD-01,DESK-HY,INST-0035,15542448.04,109.258716,16981479.16,USD,31DEC2024:22:51:51
TRD-00172,20241231,CRDT-EUR-02,DESK-IG,INST-0013,33947510.57,102.112582,34664679.57,USD,31DEC2024:22:52:52
TRD-00173,20241231,CRDT-EUR-02,DESK-IG,INST-0030,38928389.46,100.087201,38962335.4,USD,31DEC2024:22:53:53
TRD-00174,20241231,CRDT-EUR-02,DESK-IG,INST-0011,40082835.29,89.151956,35734631.68,EUR,31DEC2024:22:54:54
TRD-00175,20241231,CRDT-GBP-01,DESK-EM,INST-0004,24081473.71,96.136363,23151052.98,GBP,31DEC2024:22:55:55
TRD-00176,20241231,CRDT-EUR-01,DESK-IG,INST-0046,14324644.4,107.893505,15455360.92,EUR,31DEC2024:22:56:56
TRD-00177,20241231,CRDT-GBP-01,DESK-EM,INST-0029,7452697.93,98.124177,7312898.51,GBP,31DEC2024:22:57:57
TRD-00178,20241231,CRDT-USD-01,DESK-HY,INST-0029,46530549.16,97.446907,45342580.97,EUR,31DEC2024:22:58:58
TRD-00179,20241231,CRDT-EUR-02,DESK-IG,INST-0033,11865325.89,114.835761,13625637.28,USD,31DEC2024:22:59:59
TRD-00180,20241231,CRDT-GBP-01,DESK-EM,INST-0015,16002375.28,87.972494,14077688.63,USD,31DEC2024:22:00:00
