instmt_id,isin,issuer_id,asset_cls_cd,maturity_dt,cpn_rt,ext_rating_cd,duration,ref_load_dt
INST-0024,XS4821286999,ISS-0008,SVRN,20421228,1.7436,A,4.5855,20241201
INST-0025,XS7393195616,ISS-0022,SVRN,20270128,5.5743,NR,12.5255,20241201
INST-0026,XS4311931853,ISS-0022,CORP,20331128,1.7927,AAA,6.9066,20241201
INST-0027,XS1480494664,ISS-0001,CVRDBND,20291228,4.8647,SUB_IG,12.6016,20241201
INST-0028,XS5474620894,ISS-0009,SVRN,20260628,7.6914,BBB,3.5461,20241201
INST-0029,XS9051829827,ISS-0007,SVRN,20291028,7.9061,NR,3.9327,20241201
INST-0030,XS1106456634,ISS-0027,SVRN,20351228,6.7591,AA,6.4698,20241201
INST-0031,XS5759234471,ISS-0011,SVRN,20400128,2.2795,A,12.3405,20241201
INST-0032,XS4742303947,ISS-0020,CVRDBND,20250428,5.7803,A,6.2778,20241201
INST-0033,XS7482848011,ISS-0018,ABS,20421128,3.1492,AAA,0.9002,20241201
INST-0034,XS2140169349,ISS-0038,ABS,20440228,3.9765,AA,11.0639,20241201
INST-0035,XS5791662169,ISS-0039,ABS,20311028,2.5378,BBB,10.7774,20241201
INST-0036,XS6141226746,ISS-0035,CORP,20270728,8.091,SUB_IG,13.8512,20241201
INST-0037,XS7049001493,ISS-0008,ABS,20340728,4.9353,NR,3.2817,20241201
INST-0038,XS6587537178,ISS-0012,CVRDBND,20250928,2.931,NR,3.5476,20241201
INST-0039,XS5659161352,ISS-0029,ABS,20450928,5.4541,BBB,1.8541,20241201
INST-0040,XS1855256552,ISS-0020,SVRN,20260128,2.4587,NR,7.3895,20241201
INST-0041,XS3472487690,ISS-0027,CORP,20371228,4.455,BBB,4.0378,20241201
INST-0042,XS1939915527,ISS-0028,CORP,20411228,4.2164,AAA,8.5824,20241201
INST-0043,XS8737025391,ISS-0009,CORP,20411128,8.4031,BBB,9.1341,20241201
INST-0044,XS8995059760,ISS-0033,CVRDBND,20330828,6.5142,SUB_IG,12.678,20241201
INST-0045,XS3691864041,ISS-0032,ABS,20390528,1.1199,SUB_IG,4.6431,20241201
INST-0046,XS1346078411,ISS-0021,ABS,20320328,3.5643,A,2.7157,20241201
INST-0047,XS7045593274,ISS-0027,SVRN,20390928,3.8262,AAA,3.4991,20241201
INST-0048,XS7767538527,ISS-0038,CVRDBND,20250828,8.0419,BBB,4.8299,20241201
INST-0049,XS6242173772,ISS-0035,CVRDBND,20330428,3.9867,BBB,0.9209,20241201
INST-0050,XS4110335359,ISS-0026,ABS,20290828,8.3458,NR,8.2448,20241201
INST-0051,XS3847562279,ISS-0037,CVRDBND,20450228,3.9289,SUB_IG,13.0693,20241201
INST-0052,XS6923206003,ISS-0017,SVRN,20390428,3.1148,AAA,11.5378,20241201
INST-0053,XS5646751885,ISS-0027,CVRDBND,20420128,0.9167,A,14.3028,20241201
INST-0054,XS3799264931,ISS-0005,SVRN,20320128,2.0949,NR,0.7955,20241201
INST-0055,XS5070585433,ISS-0009,SVRN,20330828,6.6352,AA,2.9329,20241201
INST-0056,XS9410288290,ISS-0020,CORP,20310728,1.108,AA,10.5139,20241201
INST-0057,XS4361393222,ISS-0020,SVRN,20420628,3.927,AAA,5.8733,20241201
INST-0058,XS8826851692,ISS-0027,ABS,20380228,8.1863,AAA,9.716,20241201
INST-0059,XS2870403050,ISS-0010,CVRDBND,20411228,8.2238,NR,4.4162,20241201
INST-0060,XS7839626408,ISS-0028,CVRDBND,20320628,7.1458,BBB,1.7566,20241201
