TX_ID,CUSTOMER_ID,TX_DATE,PRODUCT_ID,QUANTITY,AMOUNT_LOCAL,CURRENCY
202,1469,2023-05-13,2046,3,95.34,DKK
203,1115,2023-05-12,2000,6,98.6,USD
204,1150,2023-12-07,2025,2,201.58,EUR
205,1090,2023-10-17,2044,2,82.07,EUR
206,1315,2023-12-20,2034,1,131.27,USD
207,1244,2023-10-06,2004,1,3.17,DKK
208,1483,2023-04-07,2012,2,165.01,EUR
209,1337,2023-07-27,2018,5,31.45,DKK
210,1371,2023-09-24,2022,9,188.81,EUR
211,1179,2023-05-15,2013,8,177.77,USD
212,1070,2023-03-15,2030,5,114.65,SEK
213,1207,2023-09-25,2020,8,101.39,EUR
214,1241,2023-03-21,2032,2,98.34,EUR
215,1456,2023-12-20,2036,3,112.58,SEK
216,1434,2023-10-10,2002,6,71.77,DKK
217,1022,2023-10-20,2041,7,115.92,EUR
218,1191,2023-12-12,2028,9,115.49,EUR
219,1333,2023-12-02,2048,2,100.48,DKK
220,1494,2023-07-01,2037,6,115.8,EUR
221,1298,2023-05-14,2021,2,155.66,EUR
222,1109,2023-04-25,2007,8,231.74,EUR
223,1452,2023-09-22,2043,7,31.08,DKK
224,1005,2023-04-14,2039,7,110.42,EUR
225,1216,2023-09-14,2020,2,127.84,EUR
226,1080,2023-06-15,2018,7,114.5,DKK
227,1376,2023-03-26,2048,2,129.22,USD
228,1293,2023-08-22,2049,2,21.16,EUR
229,1069,2023-02-24,2045,4,37.73,EUR
230,1188,2023-12-02,2039,7,100.71,USD
231,1378,2023-04-15,2022,7,96.33,EUR
232,1238,2023-09-30,2031,4,186.4,EUR
233,1336,2023-07-24,2039,3,76.53,SEK
234,1232,2023-11-18,2024,8,96.13,USD
235,1240,2023-09-30,2014,3,162.89,EUR
236,1409,2023-10-04,2034,7,34.53,SEK
237,1193,2023-07-15,2020,8,139.68,EUR
238,1240,2023-06-07,2022,7,23.37,EUR
239,1142,2023-02-05,2008,9,100.79,EUR
240,1303,2023-12-15,2033,1,109.94,SEK
241,1409,2023-07-21,2041,7,45.53,EUR
242,1201,2023-08-10,2035,2,175.46,USD
243,1097,2023-11-26,2021,1,118.93,USD
244,1071,2023-06-15,2032,3,79.83,USD
245,1249,2023-01-16,2046,7,106.47,EUR
246,1043,2023-09-05,2025,1,153.73,DKK
247,1318,2023-03-05,2040,4,3.0,EUR
248,1079,2023-10-03,2035,6,144.64,DKK
249,1405,2023-09-05,2027,1,94.5,SEK
250,1373,2023-07-28,2034,6,122.48,EUR
251,1169,2023-06-02,2025,9,117.65,SEK
252,1253,2023-06-26,2013,3,-0.34,EUR
253,1155,2023-03-10,2044,9,140.32,USD
254,1060,2023-11-30,2029,9,113.31,DKK
255,1028,2023-04-08,2049,1,233.74,DKK
256,1417,2023-07-05,2029,1,155.94,EUR
257,1081,2023-02-02,2005,9,126.8,EUR
258,1415,2023-07-16,2001,8,119.03,EUR
259,1043,2023-11-30,2021,7,104.64,SEK
260,1200,2023-12-08,2042,1,119.61,DKK
261,1101,2023-07-30,2003,1,134.3,USD
262,1426,2023-12-17,2022,7,18.22,EUR
263,1319,2023-01-24,2015,9,33.58,EUR
264,1180,2023-08-26,2031,5,129.69,EUR
265,1307,2023-10-16,2019,5,81.53,SEK
266,1362,2023-06-06,2012,6,52.62,USD
267,1019,2023-07-02,2026,7,77.03,EUR
268,1496,2023-02-22,2013,1,119.23,EUR
269,1427,2023-06-24,2017,7,28.34,USD
270,1184,2023-02-06,2033,1,137.0,DKK
271,1269,2023-11-11,2030,9,76.31,EUR
272,1044,2023-04-22,2041,1,121.53,DKK
273,1283,2023-04-08,2010,5,113.23,EUR
274,1189,2023-01-04,2007,6,141.79,EUR
275,1239,2023-01-14,2010,2,119.38,EUR
276,1052,2023-11-06,2038,6,124.48,EUR
277,1089,2023-05-16,2004,7,121.94,SEK
278,1219,2023-03-23,2034,1,49.2,USD
279,1345,2023-12-26,2007,1,100.71,DKK
280,1486,2023-02-28,2010,5,115.53,EUR
281,1085,2023-02-06,2032,7,166.91,USD
282,1246,2023-06-29,2049,2,106.0,EUR
283,1032,2023-01-08,2017,7,194.32,EUR
284,1179,2023-08-22,2015,5,0.0,EUR
285,1454,2023-02-25,2009,9,82.71,USD
286,1456,2023-01-15,2049,2,108.34,EUR
287,1460,2023-11-24,2038,1,22.64,DKK
288,1023,2023-02-16,2013,4,33.42,DKK
289,1128,2023-06-26,2004,4,-5.0,EUR
290,1492,2023-12-17,2048,4,169.92,EUR
291,1004,2023-12-21,2003,2,49.18,EUR
292,1264,2023-08-11,2048,2,249.91,EUR
293,1470,2023-11-09,2049,5,81.92,EUR
294,1173,2023-12-07,2014,9,180.15,DKK
295,1092,2023-09-01,2035,5,116.75,EUR
296,1423,2023-03-18,2039,7,119.55,EUR
297,1400,2023-04-21,2039,6,92.06,DKK
298,1412,2023-10-20,2021,3,126.38,EUR
299,1363,2023-12-16,2048,9,135.55,EUR
300,1060,2023-02-23,2047,5,92.79,EUR
301,1450,2023-11-16,2044,9,77.68,DKK
302,1185,2023-08-15,2035,6,84.45,USD
303,1107,2023-04-14,2004,9,121.42,EUR
304,1345,2023-10-21,2027,6,141.32,EUR
305,1379,2023-01-19,2049,7,19.55,DKK
306,1126,2023-03-03,2031,5,208.63,EUR
307,1286,2023-09-17,2045,4,40.2,EUR
308,1173,2023-02-03,2012,7,64.98,EUR
309,1377,2023-10-16,2031,3,41.13,USD
310,1034,2023-08-24,2043,5,72.4,EUR
311,1278,2023-08-06,2000,3,230.5,EUR
312,1459,2023-06-24,2026,3,-16.84,EUR
313,1119,2023-05-11,2009,8,76.13,EUR
314,1007,2023-07-16,2049,3,80.29,EUR
315,1411,2023-12-29,2001,9,63.91,DKK
316,1241,2023-09-11,2025,1,181.44,USD
317,1395,2023-10-12,2020,6,0.0,EUR
318,1021,2023-11-06,2013,6,87.23,EUR
319,1342,2023-10-17,2039,2,61.28,USD
320,1165,2023-08-21,2031,8,146.41,EUR
321,1250,2023-11-13,2013,5,80.95,EUR
322,1105,2023-10-31,2030,1,165.0,EUR
323,1019,2023-05-07,2002,1,68.79,EUR
324,1465,2023-12-22,2031,5,122.6,EUR
325,1118,2023-03-08,2040,2,93.69,EUR
326,1083,2023-12-27,2040,8,142.42,USD
327,1491,2023-01-04,2040,4,79.18,DKK
328,1283,2023-05-24,2021,4,222.27,DKK
329,1283,2023-09-24,2014,5,116.75,SEK
330,1425,2023-03-30,2048,1,103.2,DKK
331,1100,2023-03-21,2047,8,133.6,USD
332,1218,2023-11-11,2029,4,152.48,DKK
333,1155,2023-12-01,2038,2,93.43,SEK
334,1052,2023-05-01,2034,8,62.88,EUR
335,1452,2023-04-14,2041,9,106.29,DKK
336,1273,2023-10-22,2023,6,74.89,USD
337,1058,2023-09-16,2019,9,112.9,USD
338,1231,2023-03-15,2017,6,124.21,EUR
339,1487,2023-03-02,2020,5,84.63,DKK
340,1221,2023-03-05,2007,6,101.19,DKK
341,1124,2023-02-02,2048,6,206.99,EUR
342,1052,2023-06-08,2007,1,168.52,EUR
343,1076,2023-12-01,2015,3,57.71,USD
344,1125,2023-05-24,2014,4,140.84,USD
345,1344,2023-03-21,2031,7,107.06,EUR
346,1105,2023-01-30,2026,6,103.48,SEK
347,1335,2023-10-11,2037,7,47.25,EUR
348,1277,2023-12-16,2009,4,111.63,USD
349,1176,2023-03-02,2013,6,107.03,EUR
350,1225,2023-04-29,2033,5,182.54,SEK
351,1498,2023-04-25,2037,4,42.84,DKK
352,1141,2023-02-12,2033,6,185.49,EUR
353,1115,2023-03-19,2049,6,-1.27,EUR
354,1221,2023-04-01,2002,2,187.63,EUR
355,1194,2023-05-31,2047,5,72.06,DKK
356,1011,2023-01-27,2039,7,93.38,EUR
357,1496,2023-10-25,2045,8,-20.12,EUR
358,1311,2023-07-24,2014,9,164.65,USD
359,1026,2023-09-11,2037,4,123.65,EUR
360,1227,2023-10-17,2048,6,134.25,USD
361,1412,2023-01-08,2002,8,130.44,EUR
362,1044,2023-09-02,2049,7,49.19,EUR
363,1118,2023-03-04,2021,6,67.61,EUR
364,1355,2023-05-26,2000,2,15.1,DKK
365,1277,2023-12-12,2001,9,98.76,SEK
366,1090,2023-10-14,2033,4,79.34,USD
367,1472,2023-12-30,2039,1,101.25,EUR
368,1467,2023-06-03,2034,4,59.12,EUR
369,1339,2023-08-09,2006,8,88.36,EUR
370,1429,2023-01-03,2005,2,63.12,EUR
371,1315,2023-05-25,2043,8,94.94,EUR
372,1028,2023-05-29,2000,8,94.58,DKK
373,1119,2023-11-21,2008,7,93.85,EUR
374,1349,2023-02-12,2021,7,26.43,DKK
375,1317,2023-03-17,2001,5,99.67,SEK
376,1378,2023-02-23,2030,5,108.85,EUR
377,1270,2023-06-02,2019,6,143.11,EUR
378,1152,2023-02-21,2032,6,141.74,SEK
379,1464,2023-07-17,2017,9,114.28,USD
380,1050,2023-04-20,2020,5,76.32,SEK
381,1200,2023-07-07,2024,8,142.95,USD
382,1422,2023-05-01,2006,5,101.14,EUR
383,1234,2023-12-06,2006,3,-18.12,EUR
384,1263,2023-07-31,2008,3,49.0,USD
385,1085,2023-05-21,2002,7,71.61,USD
386,1171,2023-12-07,2044,4,106.73,EUR
387,1012,2023-05-15,2014,4,124.24,DKK
388,1095,2023-08-03,2042,1,152.06,DKK
389,1191,2023-10-13,2024,8,132.9,SEK
390,1067,2023-11-04,2002,9,111.03,EUR
391,1203,2023-11-06,2049,5,74.21,EUR
392,1399,2023-12-24,2044,9,115.86,EUR
393,1295,2023-02-23,2033,3,85.6,USD
394,1371,2023-07-12,2000,2,17.96,USD
395,1389,2023-10-19,2020,2,0.0,USD
396,1232,2023-02-07,2043,1,58.71,USD
397,1148,2023-09-24,2000,4,182.68,DKK
398,1025,2023-01-18,2041,8,34.3,SEK
399,1354,2023-10-17,2005,5,103.67,EUR
400,1294,2023-11-04,2020,6,154.38,EUR
401,1206,2023-09-25,2033,8,131.0,EUR
402,1197,2023-08-20,2032,5,103.85,USD
403,1025,2023-05-07,2044,8,51.45,DKK
404,1355,2023-06-30,2016,4,98.8,USD
405,1345,2023-09-11,2008,3,33.01,EUR
406,1392,2023-09-24,2001,6,87.08,EUR
407,1330,2023-02-08,2035,3,85.99,USD
408,1087,2023-01-02,2028,5,68.21,EUR
409,1458,2023-11-22,2007,3,103.71,EUR
410,1061,2023-11-08,2042,2,59.36,SEK
411,1256,2023-05-26,2009,9,25.78,EUR
412,1494,2023-09-21,2016,2,42.11,DKK
413,1334,2023-04-13,2021,4,150.26,EUR
414,1351,2023-07-17,2033,7,114.49,USD
415,1422,2023-06-13,2015,8,171.65,EUR
416,1016,2023-09-06,2046,8,-5.0,USD
417,1449,2023-08-08,2049,4,13.81,EUR
418,1361,2023-08-05,2043,2,167.63,EUR
419,1101,2023-10-04,2010,4,119.23,EUR
420,1336,2023-06-12,2040,6,34.86,EUR
421,1460,2023-01-26,2023,3,111.08,USD
422,1295,2023-07-02,2013,7,18.76,EUR
423,1159,2023-02-24,2036,8,147.28,EUR
424,1267,2023-01-03,2010,1,153.18,EUR
425,1388,2023-02-27,2017,3,74.97,EUR
426,1446,2023-08-28,2018,9,75.86,USD
427,1332,2023-09-20,2001,2,133.29,DKK
428,1210,2023-12-25,2012,8,103.98,EUR
429,1017,2023-04-08,2029,7,93.52,EUR
430,1368,2023-06-08,2021,9,122.53,SEK
431,1409,2023-04-02,2038,1,119.32,EUR
432,1032,2023-02-16,2033,8,32.97,EUR
433,1069,2023-01-28,2025,6,123.44,SEK
434,1424,2023-08-21,2031,3,32.18,USD
435,1292,2023-08-26,2013,1,-18.52,EUR
436,1426,2023-06-11,2049,1,71.13,EUR
437,1490,2023-04-05,2046,6,121.19,EUR
438,1454,2023-03-02,2001,4,113.35,EUR
439,1228,2023-11-10,2031,4,59.99,USD
440,1005,2023-06-21,2030,1,105.06,EUR
441,1029,2023-09-13,2038,5,31.41,DKK
442,1271,2023-02-23,2003,5,29.86,EUR
443,1053,2023-11-15,2047,6,125.89,USD
444,1093,2023-10-27,2032,8,210.0,USD
445,1256,2023-01-12,2023,9,135.54,USD
446,1339,2023-06-26,2048,8,141.54,SEK
447,1100,2023-05-11,2009,6,120.66,SEK
448,1090,2023-10-02,2004,9,223.09,EUR
449,1479,2023-11-23,2018,6,34.1,EUR
450,1430,2023-02-13,2034,9,206.61,EUR
451,1310,2023-01-04,2044,1,155.48,DKK
452,1218,2023-01-31,2007,5,75.57,EUR
453,1125,2023-03-22,2012,1,89.05,EUR
454,1156,2023-11-07,2048,5,3.96,SEK
455,1225,2023-05-09,2049,7,121.26,EUR
456,1312,2023-06-08,2001,6,152.34,EUR
457,1228,2023-04-19,2012,2,107.35,EUR
458,1447,2023-10-11,2028,9,153.21,USD
459,1496,2023-12-04,2042,6,110.33,USD
460,1322,2023-02-06,2049,5,108.16,EUR
461,1132,2023-04-22,2036,8,96.16,SEK
462,1142,2023-03-28,2044,5,84.83,DKK
463,1100,2023-05-01,2007,5,195.75,DKK
464,1267,2023-11-29,2002,8,97.21,EUR
465,1346,2023-05-13,2016,6,-11.89,EUR
466,1390,2023-02-12,2025,3,83.6,DKK
467,1337,2023-05-28,2028,7,159.68,EUR
468,1183,2023-07-16,2046,2,128.28,EUR
469,1473,2023-04-07,2011,9,70.76,SEK
470,1473,2023-04-12,2032,9,68.11,USD
471,1007,2023-05-04,2023,5,97.11,USD
472,1070,2023-04-20,2023,7,83.01,EUR
473,1141,2023-05-07,2022,3,189.08,EUR
474,1100,2023-01-19,2031,4,136.65,EUR
475,1122,2023-11-23,2037,6,127.44,DKK
476,1177,2023-09-06,2019,5,125.13,USD
477,1364,2023-12-27,2047,4,43.87,EUR
478,1019,2023-01-18,2026,9,116.35,EUR
479,1117,2023-01-04,2030,5,12.5,EUR
480,1368,2023-05-03,2048,6,216.06,EUR
481,1099,2023-06-24,2030,7,206.64,USD
482,1410,2023-07-15,2048,4,197.7,EUR
483,1023,2023-07-26,2017,8,45.07,USD
484,1057,2023-12-21,2014,6,42.14,DKK
485,1003,2023-12-13,2028,3,134.55,EUR
486,1456,2023-11-08,2020,1,162.86,USD
487,1069,2023-07-09,2016,9,36.85,DKK
488,1191,2023-06-27,2027,4,50.74,EUR
489,1432,2023-10-31,2047,9,79.84,SEK
490,1481,2023-10-25,2049,8,85.17,EUR
491,1073,2023-11-23,2042,3,159.48,EUR
492,1126,2023-05-08,2010,2,161.49,USD
493,1351,2023-11-14,2019,8,69.86,EUR
494,1086,2023-01-13,2045,9,61.79,EUR
495,1130,2023-10-07,2021,7,121.12,EUR
496,1354,2023-03-17,2047,4,153.27,EUR
497,1216,2023-01-08,2026,4,75.79,EUR
498,1024,2023-01-21,2043,8,-5.92,EUR
499,1212,2023-01-28,2019,4,94.79,EUR
500,1176,2023-04-28,2044,6,160.96,EUR
501,1266,2023-08-16,2046,9,27.23,EUR
502,1081,2023-07-14,2004,4,46.42,EUR
503,1496,2023-01-26,2042,5,146.51,DKK
504,1463,2023-05-06,2020,1,77.46,USD
505,1020,2023-05-01,2007,4,86.19,DKK
506,1156,2023-07-12,2000,6,150.57,DKK
507,1272,2023-05-24,2022,6,128.29,EUR
508,1331,2023-07-05,2009,9,120.96,USD
509,1355,2023-05-25,2027,5,48.25,EUR
510,1089,2023-04-06,2010,5,94.27,EUR
511,1390,2023-03-15,2002,4,-9.83,EUR
512,1258,2023-11-08,2021,7,88.32,USD
513,1324,2023-08-06,2039,3,168.95,EUR
514,1060,2023-05-30,2034,5,69.89,DKK
515,1100,2023-03-25,2009,4,136.75,EUR
516,1084,2023-03-16,2044,8,51.2,DKK
517,1355,2023-08-28,2020,4,31.79,EUR
518,1016,2023-07-23,2021,9,163.74,DKK
519,1385,2023-04-14,2013,4,168.88,SEK
520,1246,2023-08-03,2036,7,47.52,EUR
521,1341,2023-06-04,2001,7,6.83,EUR
522,1326,2023-08-08,2009,5,106.73,EUR
523,1240,2023-08-05,2007,1,127.83,USD
524,1463,2023-09-21,2034,4,119.6,EUR
525,1485,2023-11-04,2025,5,84.26,USD
526,1496,2023-06-02,2003,2,67.1,DKK
527,1161,2023-11-16,2003,7,137.96,EUR
528,1349,2023-03-07,2034,1,25.84,EUR
529,1322,2023-06-10,2016,6,124.4,EUR
530,1324,2023-12-07,2021,2,17.57,SEK
531,1056,2023-11-01,2003,9,115.71,EUR
532,1033,2023-08-25,2026,8,60.27,EUR
533,1207,2023-09-29,2016,6,123.81,EUR
534,1491,2023-02-17,2031,4,14.44,EUR
535,1299,2023-10-27,2023,2,126.88,EUR
536,1119,2023-03-16,2012,6,104.6,EUR
537,1347,2023-02-19,2047,3,58.02,EUR
538,1175,2023-05-29,2049,2,55.54,EUR
539,1187,2023-12-02,2044,7,43.6,EUR
540,1309,2023-08-09,2026,3,91.65,EUR
541,1364,2023-04-17,2044,5,31.43,DKK
542,1264,2023-12-27,2027,2,134.38,EUR
543,1057,2023-12-09,2042,3,57.22,DKK
544,1118,2023-03-29,2037,9,85.36,EUR
545,1238,2023-09-08,2016,8,102.12,EUR
546,1219,2023-09-16,2044,3,116.15,EUR
547,1012,2023-09-17,2041,8,69.91,USD
548,1397,2023-12-06,2022,6,137.94,USD
549,1060,2023-06-09,2016,8,30.06,EUR
550,1245,2023-05-21,2004,1,81.22,DKK
551,1118,2023-02-22,2023,5,45.7,DKK
552,1232,2023-09-15,2014,9,122.87,USD
553,1068,2023-09-03,2041,9,97.39,EUR
554,1470,2023-02-27,2007,5,98.28,EUR
555,1099,2023-11-29,2036,7,109.8,EUR
556,1174,2023-06-02,2010,1,88.46,DKK
557,1168,2023-02-16,2047,5,70.74,DKK
558,1322,2023-04-18,2030,3,121.42,USD
